Blatt,Adresse,Formel,Wert
Kalkulation,G24,=B24+gamma3*C24,0.7571585769418884
Kalkulation,H24,"=F24+alpha*t*BJB*Act_axn_k(x+A24,MAX(5-A24,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",30001.1907
Kalkulation,I24,"=IF(AND(x+A24>=MinAlterFlex,A24>=n-MinRLZFlex),1,0)",0
Kalkulation,J24,"=IF(OR(A24>n,I24),0,MIN(150,MAX(50,1%*(VS-F24))))",150
Kalkulation,K24,"=MAX(0,H24-J24)",29851.1907
Kalkulation,L24,"=IFERROR(IF(A24>n,0,IF(A24<t,H24/G24,VS)),0)",39623.3915
Kalkulation,A25,9,9
Kalkulation,B25,"=IF(A25<=n,act_nGrAx(x+$A25,MAX(0,n-$A25),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A25,Sex,Tafel,Zins),0)",0.7268793899613282
Kalkulation,C25,"=Act_axn_k(x+$A25,MAX(0,n-$A25),Sex,Tafel,Zins,1)",15.880012612248448
Kalkulation,D25,"=Act_axn_k(x+$A25,MAX(0,t-$A25),Sex,Tafel,Zins,1)",9.69850648672706
Kalkulation,E25,"=B25-P_xt*D25+gamma2*(C25-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D25)",0.34275256844383917
Kalkulation,F25,=VS*E25,34275.2568
Kalkulation,G25,=B25+gamma3*C25,0.7665794214919492
Kalkulation,H25,"=F25+alpha*t*BJB*Act_axn_k(x+A25,MAX(5-A25,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",34275.2568
Kalkulation,I25,"=IF(AND(x+A25>=MinAlterFlex,A25>=n-MinRLZFlex),1,0)",0
Kalkulation,J25,"=IF(OR(A25>n,I25),0,MIN(150,MAX(50,1%*(VS-F25))))",150
Kalkulation,K25,"=MAX(0,H25-J25)",34125.2568
Kalkulation,L25,"=IFERROR(IF(A25>n,0,IF(A25<t,H25/G25,VS)),0)",44711.9449
Kalkulation,A26,10,10
Kalkulation,B26,"=IF(A26<=n,act_nGrAx(x+$A26,MAX(0,n-$A26),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A26,Sex,Tafel,Zins),0)",0.7380031706073322
Kalkulation,C26,"=Act_axn_k(x+$A26,MAX(0,n-$A26),Sex,Tafel,Zins,1)",15.233244223259339
Kalkulation,D26,"=Act_axn_k(x+$A26,MAX(0,t-$A26),Sex,Tafel,Zins,1)",8.904997404427364
Kalkulation,E26,"=B26-P_xt*D26+gamma2*(C26-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D26)",0.38612032712713734
Kalkulation,F26,=VS*E26,38612.0327
Kalkulation,G26,=B26+gamma3*C26,0.7760862811654806
Kalkulation,H26,"=F26+alpha*t*BJB*Act_axn_k(x+A26,MAX(5-A26,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",38612.0327
Kalkulation,I26,"=IF(AND(x+A26>=MinAlterFlex,A26>=n-MinRLZFlex),1,0)",0
Kalkulation,J26,"=IF(OR(A26>n,I26),0,MIN(150,MAX(50,1%*(VS-F26))))",150
Kalkulation,K26,"=MAX(0,H26-J26)",38462.0327
Kalkulation,L26,"=IFERROR(IF(A26>n,0,IF(A26<t,H26/G26,VS)),0)",49752.2423
Kalkulation,A27,11,11
Kalkulation,B27,"=IF(A27<=n,act_nGrAx(x+$A27,MAX(0,n-$A27),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A27,Sex,Tafel,Zins),0)",0.7492252457268609
Kalkulation,C27,"=Act_axn_k(x+$A27,MAX(0,n-$A27),Sex,Tafel,Zins,1)",14.58076071273807
Kalkulation,D27,"=Act_axn_k(x+$A27,MAX(0,t-$A27),Sex,Tafel,Zins,1)",8.098004487298601
Kalkulation,E27,"=B27-P_xt*D27+gamma2*(C27-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D27)",0.4301408854314264
Kalkulation,F27,=VS*E27,43014.0885
Kalkulation,G27,=B27+gamma3*C27,0.7856771475087061
Kalkulation,H27,"=F27+alpha*t*BJB*Act_axn_k(x+A27,MAX(5-A27,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",43014.0885
Kalkulation,I27,"=IF(AND(x+A27>=MinAlterFlex,A27>=n-MinRLZFlex),1,0)",0
Kalkulation,J27,"=IF(OR(A27>n,I27),0,MIN(150,MAX(50,1%*(VS-F27))))",150
Kalkulation,K27,"=MAX(0,H27-J27)",42864.0885
Kalkulation,L27,"=IFERROR(IF(A27>n,0,IF(A27<t,H27/G27,VS)),0)",54747.7914
Kalkulation,A28,12,12
Kalkulation,B28,"=IF(A28<=n,act_nGrAx(x+$A28,MAX(0,n-$A28),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A28,Sex,Tafel,Zins),0)",0.7605443620772302
Kalkulation,C28,"=Act_axn_k(x+$A28,MAX(0,n-$A28),Sex,Tafel,Zins,1)",13.922634947795249
Kalkulation,D28,"=Act_axn_k(x+$A28,MAX(0,t-$A28),Sex,Tafel,Zins,1)",7.276685557222148
Kalkulation,E28,"=B28-P_xt*D28+gamma2*(C28-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D28)",0.4748481608726271
Kalkulation,F28,=VS*E28,47484.8161
Kalkulation,G28,=B28+gamma3*C28,0.7953509494467184
Kalkulation,H28,"=F28+alpha*t*BJB*Act_axn_k(x+A28,MAX(5-A28,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",47484.8161
Kalkulation,I28,"=IF(AND(x+A28>=MinAlterFlex,A28>=n-MinRLZFlex),1,0)",0
Kalkulation,J28,"=IF(OR(A28>n,I28),0,MIN(150,MAX(50,1%*(VS-F28))))",150
Kalkulation,K28,"=MAX(0,H28-J28)",47334.8161
Kalkulation,L28,"=IFERROR(IF(A28>n,0,IF(A28<t,H28/G28,VS)),0)",59702.9728
Kalkulation,A29,13,13
Kalkulation,B29,"=IF(A29<=n,act_nGrAx(x+$A29,MAX(0,n-$A29),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A29,Sex,Tafel,Zins),0)",0.7719607061964255
Kalkulation,C29,"=Act_axn_k(x+$A29,MAX(0,n-$A29),Sex,Tafel,Zins,1)",13.258856082579262
Kalkulation,D29,"=Act_axn_k(x+$A29,MAX(0,t-$A29),Sex,Tafel,Zins,1)",6.439992371138744
Kalkulation,E29,"=B29-P_xt*D29+gamma2*(C29-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D29)",0.5202859894341998
Kalkulation,F29,=VS*E29,52028.5989
Kalkulation,G29,=B29+gamma3*C29,0.8051078464028737
Kalkulation,H29,"=F29+alpha*t*BJB*Act_axn_k(x+A29,MAX(5-A29,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",52028.5989
Kalkulation,I29,"=IF(AND(x+A29>=MinAlterFlex,A29>=n-MinRLZFlex),1,0)",0
Kalkulation,J29,"=IF(OR(A29>n,I29),0,MIN(150,MAX(50,1%*(VS-F29))))",150
Kalkulation,K29,"=MAX(0,H29-J29)",51878.5989
Kalkulation,L29,"=IFERROR(IF(A29>n,0,IF(A29<t,H29/G29,VS)),0)",64623.1423
Kalkulation,A30,14,14
Kalkulation,B30,"=IF(A30<=n,act_nGrAx(x+$A30,MAX(0,n-$A30),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A30,Sex,Tafel,Zins),0)",0.7834747382680015
Kalkulation,C30,"=Act_axn_k(x+$A30,MAX(0,n-$A30),Sex,Tafel,Zins,1)",12.589397360703279
Kalkulation,D30,"=Act_axn_k(x+$A30,MAX(0,t-$A30),Sex,Tafel,Zins,1)",5.58667343332173
Kalkulation,E30,"=B30-P_xt*D30+gamma2*(C30-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D30)",0.5665069270440265
Kalkulation,F30,=VS*E30,56650.6927
Kalkulation,G30,=B30+gamma3*C30,0.8149482316697597
Kalkulation,H30,"=F30+alpha*t*BJB*Act_axn_k(x+A30,MAX(5-A30,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",56650.6927
Kalkulation,I30,"=IF(AND(x+A30>=MinAlterFlex,A30>=n-MinRLZFlex),1,0)",0
Kalkulation,J30,"=IF(OR(A30>n,I30),0,MIN(150,MAX(50,1%*(VS-F30))))",150
Kalkulation,K30,"=MAX(0,H30-J30)",56500.6927
Kalkulation,L30,"=IFERROR(IF(A30>n,0,IF(A30<t,H30/G30,VS)),0)",69514.4679
Kalkulation,A31,15,15
Kalkulation,B31,"=IF(A31<=n,act_nGrAx(x+$A31,MAX(0,n-$A31),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A31,Sex,Tafel,Zins),0)",0.795096555571746
Kalkulation,C31,"=Act_axn_k(x+$A31,MAX(0,n-$A31),Sex,Tafel,Zins,1)",11.913671697471306
Kalkulation,D31,"=Act_axn_k(x+$A31,MAX(0,t-$A31),Sex,Tafel,Zins,1)",4.715009742732018
Kalkulation,E31,"=B31-P_xt*D31+gamma2*(C31-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D31)",0.613591939553059
Kalkulation,F31,=VS*E31,61359.194
Kalkulation,G31,=B31+gamma3*C31,0.8248807348154242
Kalkulation,H31,"=F31+alpha*t*BJB*Act_axn_k(x+A31,MAX(5-A31,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",61359.194
Kalkulation,I31,"=IF(AND(x+A31>=MinAlterFlex,A31>=n-MinRLZFlex),1,0)",0
Kalkulation,J31,"=IF(OR(A31>n,I31),0,MIN(150,MAX(50,1%*(VS-F31))))",150
Kalkulation,K31,"=MAX(0,H31-J31)",61209.194
Kalkulation,L31,"=IFERROR(IF(A31>n,0,IF(A31<t,H31/G31,VS)),0)",74385.534
Kalkulation,A32,16,16
Kalkulation,B32,"=IF(A32<=n,act_nGrAx(x+$A32,MAX(0,n-$A32),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A32,Sex,Tafel,Zins),0)",0.8068404040744293
Kalkulation,C32,"=Act_axn_k(x+$A32,MAX(0,n-$A32),Sex,Tafel,Zins,1)",11.230850791672268
Kalkulation,D32,"=Act_axn_k(x+$A32,MAX(0,t-$A32),Sex,Tafel,Zins,1)",3.8229773871518575
Kalkulation,E32,"=B32-P_xt*D32+gamma2*(C32-Act_axn_k(x,n,Sex,Tafel,Zins,1)/Act_axn_k(x,t,Sex,Tafel,Zins,1)*D32)",0.6616385405994291
Kalkulation,F32,=VS*E32,66163.8541
Kalkulation,G32,=B32+gamma3*C32,0.8349175310536099
Kalkulation,H32,"=F32+alpha*t*BJB*Act_axn_k(x+A32,MAX(5-A32,0),Sex,Tafel,Zins,1)/Act_axn_k(x,5,Sex,Tafel,Zins,1)",66163.8541
Kalkulation,I32,"=IF(AND(x+A32>=MinAlterFlex,A32>=n-MinRLZFlex),1,0)",0
Kalkulation,J32,"=IF(OR(A32>n,I32),0,MIN(150,MAX(50,1%*(VS-F32))))",150
Kalkulation,K32,"=MAX(0,H32-J32)",66013.8541
Kalkulation,L32,"=IFERROR(IF(A32>n,0,IF(A32<t,H32/G32,VS)),0)",79245.9753
Kalkulation,A33,17,17
Kalkulation,B33,"=IF(A33<=n,act_nGrAx(x+$A33,MAX(0,n-$A33),Sex,Tafel,Zins)+Act_Dx(x+n,Sex,Tafel,Zins)/Act_Dx(x+$A33,Sex,Tafel,Zins),0)",0.8187231548769123
Kalkulation,C33,"=Act_axn_k(x+$A33,MAX(0,n-$A33),Sex,Tafel,Zins,1)",10.539953709299303
